Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:29:07.101,114098.4,0.039,BTCUSDT
2025-09-30 00:29:07.101,114098.4,0.001,BTCUSDT
2025-09-30 00:29:07.101,114098.4,0.001,BTCUSDT
2025-09-30 00:29:07.101,114098.4,0.001,BTCUSDT
2025-09-30 00:29:07.101,114098.4,0.11,BTCUSDT
2025-09-30 00:29:07.101,114098.4,0.001,BTCUSDT
2025-09-30 00:29:07.101,114098.4,0.022,BTCUSDT
2025-09-30 00:29:07.141,114098.5,0.005,BTCUSDT
2025-09-30 00:29:07.590,114098.5,0.003,BTCUSDT
2025-09-30 00:29:07.840,114098.5,0.02,BTCUSDT
2025-09-30 00:29:07.840,114098.5,0.002,BTCUSDT
2025-09-30 00:29:07.840,114098.5,0.026,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.035,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.005,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.002,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.003,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.003,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.006,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.001,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.044,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.001,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.013,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.001,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.002,BTCUSDT
2025-09-30 00:29:08.055,114098.5,0.104,BTCUSDT
2025-09-30 00:29:08.154,114098.5,0.02,BTCUSDT
2025-09-30 00:29:08.369,114098.5,0.001,BTCUSDT
2025-09-30 00:29:08.468,114098.5,0.001,BTCUSDT
2025-09-30 00:29:08.524,114098.5,0.001,BTCUSDT
2025-09-30 00:29:08.744,114098.4,0.001,BTCUSDT
2025-09-30 00:29:08.937,114098.5,0.048,BTCUSDT
2025-09-30 00:29:09.922,114098.5,0.003,BTCUSDT
2025-09-30 00:29:09.922,114098.5,0.001,BTCUSDT
2025-09-30 00:29:09.922,114098.5,0.021,BTCUSDT
2025-09-30 00:29:09.922,114098.5,0.023,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.02,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.007,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.002,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.002,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.003,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.007,BTCUSDT
2025-09-30 00:29:10.134,114098.5,0.068,BTCUSDT
2025-09-30 00:29:10.404,114098.4,0.001,BTCUSDT
2025-09-30 00:29:10.682,114098.4,0.006,BTCUSDT
2025-09-30 00:29:10.878,114098.5,0.032,BTCUSDT
2025-09-30 00:29:10.878,114098.5,0.016,BTCUSDT
2025-09-30 00:29:11.644,114098.5,0.021,BTCUSDT
2025-09-30 00:29:11.728,114098.5,0.033,BTCUSDT
2025-09-30 00:29:11.851,114098.5,0.048,BTCUSDT
2025-09-30 00:29:12.004,114098.4,0.021,BTCUSDT
